sc401TAZA DESAYUNO COLORGemplast2,29
sc402PLATO DESAYUNO COLORGemplast2,05
sc403JARROGemplast1,78
sc411ENSALADERAGemplast3,33
sc416CUCHARITA NUEVO!!!Gemplast56,08
sc432COLA PASTASGemplast3,57
sc436COMPOTERA NUEVAGemplast2,28
sc437ENSALADERA MEDIANAGemplast4,22
sc438ENSALADERA GRANDEGemplast6,31
sc445PLATO VIANDA NUEVO!!!Gemplast6,63
sc456PLATO HONDO COLORGemplast2,06
sc457PLATO PLAYO COLORGemplast2,06
sc460COPA DE MESAGemplast1,61
sc461VASO CARIBEGemplast1,85
sc462VASO CON TAPA CARIBEGemplast2,6
sc463VASO ARUBAGemplast1,58
sc464COPA DE POSTREGemplast2,15
sc480YERBERA (VERTEDOR)Gemplast3,16
sc481"YERBERA AZUCARERA D?O NUEVO!!!"Gemplast6,73
sc601ESCURRIDOR DE CUBIERTOSGemplast6,61
sc602SECAPLATOSGemplast13,45
sc605CUBIERTERO (NUEVO)Gemplast4,82
sc617JARRA COLOR 2,7 LITROS C/TAPAGemplast7,41
sc6179JARRA COLOR 2,7 L C/TAPA FEGemplast6,86
sc619JARRA COLOR 2 LITROSGemplast4,53
sc623JARRA 2 LITROS CON TAPAGemplast6,6
sc624CUBETERA APILABLE GDE.14 CUBIT X UNID.Gemplast3,43
sc625CUBETERA 12 CUBITOSGemplast1,93
sc690TABLA PICA CARNE CHICAGemplast8,29
sc695TABLA PICA CARNE GRANDEGemplast14,69
sc698PIZZERAGemplast10,02
sc1140RECTANGULAR 1,1 LITROGemplast3,13
sc1142RECTANGULAR 3 LITROSGemplast6,06
sc1144RECTANGULAR 5 LITROSGemplast7,62
sc1148RECTANGULAR 11 LITROSGemplast14,86
sc1251CONTENEDOR REDONDO 1.8 LITROSGemplast3,68
sc1252CONTENEDOR REDONDO 2 LITROSGemplast4,82
sc1253CONTENEDOR REDONDO 3 LITROSGemplast5,14
sc1255CONTENEDOR REDONDO 5 LITROSGemplast6,16
sc1256TORTERA (HERM. C/TAPA)Gemplast4,53
sc1350HERMETICO CUADRADO 1/2 LTGemplast2,92
sc1351HERMETICO CUADRADO 1 LTGemplast4,11
sc1352HERMETICO CUADRADO 2 LTGemplast5,32
sc1353HERMETICO CUADRADO 3 LTGemplast5,9
sc1355HERMETICO CUADRADO 5 LTGemplast6,64
sc700ESCOBA VENECIAGemplast9,82
sc702ESCOBA ROMAGemplast10,75
sc703ESCOBA GENOVAGemplast5,75
sc730ESCOBILLON TORINO (6 HILERAS)Gemplast8,74
sc732ESCOBILLON BARI (5 HILERAS)Gemplast6,29
sc720CEPILLO DE MANO SIN MANGOGemplast4,9
sc721CEPILLO DE MANO CON MANGOGemplast4,23
sc722CEPILLO LIMPIA INODOROSGemplast7
sc723CEPILLO LIMPIA INODOROS Y BASEGemplast9,75
sc725CEPILLO VIOLIN LAVA COCHEGemplast5,74
sc726CEPILLO LAVA CAMIONGemplast8,49
sc711CABOS PARA ESCOBAGemplast3,14
sc6062PALA RESIDUOS MANGO LARGOGemplast6,47
sc616PALA RESIDUOS MANGO CORTOGemplast2,87
sc610CESTO A PEDAL NUEVO!Gemplast23,27
sc611TARRO VAIVEN NUEVO!Gemplast11,67
sc137TARRO VAIVEN 50LTS RECTANGULARGemplast62,26
sc6129TARRO DE RESIDUOS 8 LTS FEGemplast7,29
sc6139TARRO DE RESIDUOS 12 LTS FEGemplast9,2
sc614TARRO DE RESIDUOS 18 LTSGemplast14,28
sc136RESIDUOS 34 LTS CON TAPAGemplast33,22
sc131RESIDUOS 48 LTS CON TAPAGemplast38,43
sc132REDIDUOS 68 LTS CON TAPAGemplast68,41
sc133RESIDUOS 106 LTS CON TAPAGemplast91,98
sc138RESIDUOS 132 LTS CON TAPAGemplast114,65
sc805BALDE 12 LTS. LINEA NUEVAGemplast9,81
sc802BALDE DE 10 LTS.Gemplast8,91
sc806BALDE 10 LTS. LINEA NUEVAGemplast9,23
sc811FUENTON 12 LTS.Gemplast6,63
sc812FUENTON 22 LTS.Gemplast10,36
sc814FUENTON 28 LTS.Gemplast13,55
sc820PALANGANA GRANDEGemplast4,3
sc821PALANGANA CHICAGemplast3,01
sc840FUENTON 40 LTSGemplast16,91
sc841BATEA 40 LTS (FUENTON CUADRADO)Gemplast23,98
sc854FUENTON 54 LTS.Gemplast25,49
